"","SOU","LL","KM","AI","EN","AS","LER","JT","UEM"
"SOU",1,0.00523,0.16586,0.88139,0.128,0,0,0.00021,0
"LL",0.00523,1,0.00372,0.61627,0.54867,0.05027,0.00062,0.02086,0
"KM",0.16586,0.00372,1,1,0.68468,0.01361,0,0,0
"AI",0.88139,0.61627,1,1,1,0.56539,0.10508,0.5582,0
"EN",0.128,0.54867,0.68468,1,1,0.40909,0.01097,0.00223,0
"AS",0,0.05027,0.01361,0.56539,0.40909,1,0.73422,0.04283,0
"LER",0,0.00062,0,0.10508,0.01097,0.73422,1,5e-05,0
"JT",0.00021,0.02086,0,0.5582,0.00223,0.04283,5e-05,1,0
"UEM",0,0,0,0,0,0,0,0,1
